auditor,task,mean_pairwise_flip_rate,median_pairwise_flip_rate,std_pairwise_flip_rate,n_identities
deepface,age,0.8451515151515153,0.8484848484848485,0.05478286134609795,50
deepface,gender,0.5403030303030303,0.5454545454545454,0.016656825114780064,50
